post_id;post_txt;post_lable
171;So many assume. So few know.;p
172;Stop saying I wish start saying I will;p
173;It costs $b.bb to be a decent person.;b
174;With Great power, Comes great ele bill.;b
175;I’m sorry my fault. I forgot you’re an Idiot.;b
176;Love yourself love your day love your life.;b
177;Sugar? No thanks, I am already sweet..;b
178;My heart is stolen… Can I check your bar..;p
179;Life is a story, Make yours the best seller!;b
180;Life is short. Smile ;p
181;You are my best reason to lose sleep.;p
182;I’m the dude with cool attitude!;p
183;I wish I had Google in my mind ;b
184;You have TO-GET-HER.;b
185;If you want to be TOGETHER.  ;p
186;Your Whatsapp status say’s online;p
187;… If your online then, why aren’t you ;b
188;Try to solve your problem yourself… ;p
189;Don’t Depend on other..!;b
190;Life begins at the end ;b
191;of your comfort zone.;b
192;Stop saying I wish start saying I will.;p
193;and antivirus in my heart.;p
194;Every people is a intelligent;n
195;When he work Hard! Goood feel;p
196;Please don’t get confused ;p
197;please smile ..to your life;p
198;Love yourself love your day love your life.;p
199;When he work Hard that is great;n
200;Don’t let a bad day ;p
201;make u feel u have a bad life.;n
202;I’ve got nothing to do today ;p
203;but smile.;b
204;Life is to short to remove USB slowly.;n
205;So many assume. So few know.;p
206;Nobody can teach me who I am.;p
207;‘Down’, It only means that you ;p
208;If people are trying to bring you ;p
209;I got less but I got best!;p
210;I’m cool but Summer made me hot!;p
211;I got less but I got best!;n
212;I am Waiting for GF Message!;p
213;So many assume. So few know.;p
214;Stop saying I wish start saying I will;p
215;It costs $b.bb to be a decent person.;b
216;With Great power, Comes great ele bill.;b
217;I’m sorry my fault. I forgot you’re an Idiot.;b
218;Love yourself love your day love your life.;b
219;Sugar? No thanks, I am already sweet..;b
220;My heart is stolen… Can I check your bar..;p
221;Life is a story, Make yours the best seller!;b
222;Life is short. Smile ;p
223;You are my best reason to lose sleep.;p
224;I’m the dude with cool attitude!;p
225;I wish I had Google in my mind ;b
226;You have TO-GET-HER.;b
227;If you want to be TOGETHER.  ;p
228;Your Whatsapp status say’s online;p
229;… If your online then, why aren’t you ;b
230;Try to solve your problem yourself… ;p
231;Don’t Depend on other..!;b
232;Life begins at the end ;b
233;of your comfort zone.;b
234;Stop saying I wish start saying I will.;p
235;and antivirus in my heart.;p
236;Every people is a intelligent;n
237;When he work Hard! Goood feel;p
238;Please don’t get confused ;p
239;please smile ..to your life;p
240;Love yourself love your day love your life.;p
241;When he work Hard that is great;n
242;Don’t let a bad day ;p
243;make u feel u have a bad life.;n
244;I’ve got nothing to do today ;p
245;but smile.;b
246;Life is to short to remove USB slowly.;n
247;So many assume. So few know.;p
248;Nobody can teach me who I am.;p
249;‘Down’, It only means that you ;p
250;If people are trying to bring you ;p
251;I got less but I got best!;p
252;I’m cool but Summer made me hot!;p
253;I got less but I got best!;n
254;I am Waiting for GF Message!;p
255;So many assume. So few know.;p
256;Stop saying I wish start saying I will;p
257;It costs $b.bb to be a decent person.;b
258;With Great power, Comes great ele bill.;b
259;I’m sorry my fault. I forgot you’re an Idiot.;b
260;Love yourself love your day love your life.;b
261;Sugar? No thanks, I am already sweet..;b
262;My heart is stolen… Can I check your bar..;p
263;Life is a story, Make yours the best seller!;b
264;Life is short. Smile ;p
265;You are my best reason to lose sleep.;p
266;I’m the dude with cool attitude!;p
267;I wish I had Google in my mind ;b
268;You have TO-GET-HER.;b
269;If you want to be TOGETHER.  ;p
270;Your Whatsapp status say’s online;p
271;… If your online then, why aren’t you ;b
272;Try to solve your problem yourself… ;p
273;Don’t Depend on other..!;b
274;Life begins at the end ;b
275;of your comfort zone.;b
276;Stop saying I wish start saying I will.;p
277;and antivirus in my heart.;p
278;Every people is a intelligent;n
279;When he work Hard! Goood feel;p
280;Please don’t get confused ;p
281;please smile ..to your life;p
282;Love yourself love your day love your life.;p
283;When he work Hard that is great;n
284;Don’t let a bad day ;p
285;make u feel u have a bad life.;n
286;I’ve got nothing to do today ;p
287;but smile.;b
288;Life is to short to remove USB slowly.;n
289;So many assume. So few know.;p
290;Nobody can teach me who I am.;p
291;‘Down’, It only means that you ;p
292;If people are trying to bring you ;p
293;I got less but I got best!;p
294;I’m cool but Summer made me hot!;p
295;I got less but I got best!;n
296;I am Waiting for GF Message!;p
297;So many assume. So few know.;p
298;Stop saying I wish start saying I will;p
299;It costs $b.bb to be a decent person.;b
300;With Great power, Comes great ele bill.;b
301;I’m sorry my fault. I forgot you’re an Idiot.;b
302;Love yourself love your day love your life.;b
303;Sugar? No thanks, I am already sweet..;b
304;My heart is stolen… Can I check your bar..;p
305;Life is a story, Make yours the best seller!;b
306;Life is short. Smile ;p
307;You are my best reason to lose sleep.;p
308;I’m the dude with cool attitude!;p
309;I wish I had Google in my mind ;b
310;You have TO-GET-HER.;b
311;If you want to be TOGETHER.  ;p
312;Your Whatsapp status say’s online;p
313;… If your online then, why aren’t you ;b
314;Try to solve your problem yourself… ;p
315;Don’t Depend on other..!;b
316;Life begins at the end ;b
317;of your comfort zone.;b
318;Stop saying I wish start saying I will.;p
319;and antivirus in my heart.;p
320;Every people is a intelligent;n
321;When he work Hard! Goood feel;p
322;Please don’t get confused ;p
323;please smile ..to your life;p
324;Love yourself love your day love your life.;p
325;When he work Hard that is great;n
326;Don’t let a bad day ;p
327;make u feel u have a bad life.;n
328;I’ve got nothing to do today ;p
329;but smile.;b
330;Life is to short to remove USB slowly.;n
331;So many assume. So few know.;p
332;Nobody can teach me who I am.;p
333;‘Down’, It only means that you ;p
334;If people are trying to bring you ;p
335;I got less but I got best!;p
336;I’m cool but Summer made me hot!;p
337;I got less but I got best!;n
338;I am Waiting for GF Message!;p
339;So many assume. So few know.;p
340;Stop saying I wish start saying I will;p
341;It costs $b.bb to be a decent person.;b
342;With Great power, Comes great ele bill.;b
343;I’m sorry my fault. I forgot you’re an Idiot.;b
344;Love yourself love your day love your life.;b
345;Sugar? No thanks, I am already sweet..;b
346;My heart is stolen… Can I check your bar..;p
347;Life is a story, Make yours the best seller!;b
348;Life is short. Smile ;p
349;You are my best reason to lose sleep.;p
350;I’m the dude with cool attitude!;p
351;I wish I had Google in my mind ;b
352;You have TO-GET-HER.;b
353;If you want to be TOGETHER.  ;p
354;Your Whatsapp status say’s online;p
355;… If your online then, why aren’t you ;b
356;Try to solve your problem yourself… ;p
357;Don’t Depend on other..!;b
358;Life begins at the end ;b
359;of your comfort zone.;b
360;Stop saying I wish start saying I will.;p
361;and antivirus in my heart.;p
362;Every people is a intelligent;n
363;When he work Hard! Goood feel;p
364;Please don’t get confused ;p
365;please smile ..to your life;p
366;Love yourself love your day love your life.;p
367;When he work Hard that is great;n
368;Don’t let a bad day ;p
369;make u feel u have a bad life.;n
370;I’ve got nothing to do today ;p
371;but smile.;b
372;Life is to short to remove USB slowly.;n
373;So many assume. So few know.;p
374;Nobody can teach me who I am.;p
375;‘Down’, It only means that you ;p
376;If people are trying to bring you ;p
377;I got less but I got best!;p
378;I’m cool but Summer made me hot!;p
379;I got less but I got best!;n
380;I am Waiting for GF Message!;p
381;So many assume. So few know.;p
382;Stop saying I wish start saying I will;p
383;It costs $b.bb to be a decent person.;b
384;With Great power, Comes great ele bill.;b
385;I’m sorry my fault. I forgot you’re an Idiot.;b
386;Love yourself love your day love your life.;b
387;Sugar? No thanks, I am already sweet..;b
388;My heart is stolen… Can I check your bar..;p
389;Life is a story, Make yours the best seller!;b
390;Life is short. Smile ;p
391;You are my best reason to lose sleep.;p
392;I’m the dude with cool attitude!;p
393;I wish I had Google in my mind ;b
394;You have TO-GET-HER.;b
395;If you want to be TOGETHER.  ;p
396;Your Whatsapp status say’s online;p
397;… If your online then, why aren’t you ;b
398;Try to solve your problem yourself… ;p
399;Don’t Depend on other..!;b
400;Life begins at the end ;b
401;of your comfort zone.;b
402;Stop saying I wish start saying I will.;p
403;and antivirus in my heart.;p
404;Every people is a intelligent;n
405;When he work Hard! Goood feel;p
406;Please don’t get confused ;p
407;please smile ..to your life;p
408;Love yourself love your day love your life.;p
409;When he work Hard that is great;n
410;Don’t let a bad day ;p
411;make u feel u have a bad life.;n
412;I’ve got nothing to do today ;p
413;but smile.;b
414;Life is to short to remove USB slowly.;n
415;So many assume. So few know.;p
416;Nobody can teach me who I am.;p
417;‘Down’, It only means that you ;p
418;If people are trying to bring you ;p
419;I got less but I got best!;p
420;I’m cool but Summer made me hot!;p
421;I got less but I got best!;n
422;I am Waiting for GF Message!;p
423;So many assume. So few know.;p
424;Stop saying I wish start saying I will;p
425;It costs $b.bb to be a decent person.;b
426;With Great power, Comes great ele bill.;b
427;I’m sorry my fault. I forgot you’re an Idiot.;b
428;Love yourself love your day love your life.;b
429;Sugar? No thanks, I am already sweet..;b
430;My heart is stolen… Can I check your bar..;p
431;Life is a story, Make yours the best seller!;b
432;Life is short. Smile ;p
433;You are my best reason to lose sleep.;p
434;I’m the dude with cool attitude!;p
435;I wish I had Google in my mind ;b
436;You have TO-GET-HER.;b
437;If you want to be TOGETHER.  ;p
438;Your Whatsapp status say’s online;p
439;… If your online then, why aren’t you ;b
440;Try to solve your problem yourself… ;p
441;Don’t Depend on other..!;b
442;Life begins at the end ;b
443;of your comfort zone.;b
444;Stop saying I wish start saying I will.;p
445;and antivirus in my heart.;p
446;Every people is a intelligent;n
447;When he work Hard! Goood feel;p
448;Please don’t get confused ;p
449;please smile ..to your life;p
450;Love yourself love your day love your life.;p
451;When he work Hard that is great;n
452;Don’t let a bad day ;p
453;make u feel u have a bad life.;n
454;I’ve got nothing to do today ;p
455;but smile.;b
456;Life is to short to remove USB slowly.;n
457;So many assume. So few know.;p
458;Nobody can teach me who I am.;p
459;‘Down’, It only means that you ;p
460;If people are trying to bring you ;p
461;I got less but I got best!;p
462;I’m cool but Summer made me hot!;p
463;I got less but I got best!;n
464;I am Waiting for GF Message!;p
465;So many assume. So few know.;p
466;Stop saying I wish start saying I will;p
467;It costs $b.bb to be a decent person.;b
468;With Great power, Comes great ele bill.;b
469;I’m sorry my fault. I forgot you’re an Idiot.;b
470;Love yourself love your day love your life.;b
471;Sugar? No thanks, I am already sweet..;b
472;My heart is stolen… Can I check your bar..;p
473;Life is a story, Make yours the best seller!;b
474;Life is short. Smile ;p
475;You are my best reason to lose sleep.;p
476;I’m the dude with cool attitude!;p
477;I wish I had Google in my mind ;b
478;You have TO-GET-HER.;b
479;If you want to be TOGETHER.  ;p
480;Your Whatsapp status say’s online;p
481;… If your online then, why aren’t you ;b
482;Try to solve your problem yourself… ;p
483;Don’t Depend on other..!;b
484;Life begins at the end ;b
485;of your comfort zone.;b
486;Stop saying I wish start saying I will.;p
487;and antivirus in my heart.;p
488;Every people is a intelligent;n
489;When he work Hard! Goood feel;p
490;Please don’t get confused ;p
491;please smile ..to your life;p
492;Love yourself love your day love your life.;p
493;When he work Hard that is great;n
494;Don’t let a bad day ;p
495;make u feel u have a bad life.;n
496;I’ve got nothing to do today ;p
497;but smile.;b
498;Life is to short to remove USB slowly.;n
499;So many assume. So few know.;p
500;Nobody can teach me who I am.;p
501;‘Down’, It only means that you ;p
502;If people are trying to bring you ;p
503;I got less but I got best!;p
504;I’m cool but Summer made me hot!;p
505;I got less but I got best!;n
506;I am Waiting for GF Message!;p
507;So many assume. So few know.;p
508;Stop saying I wish start saying I will;p
509;It costs $b.bb to be a decent person.;b
510;With Great power, Comes great ele bill.;b
511;I’m sorry my fault. I forgot you’re an Idiot.;b
512;Love yourself love your day love your life.;b
513;Sugar? No thanks, I am already sweet..;b
514;My heart is stolen… Can I check your bar..;p
515;Life is a story, Make yours the best seller!;b
516;Life is short. Smile ;p
517;You are my best reason to lose sleep.;p
518;I’m the dude with cool attitude!;p
519;I wish I had Google in my mind ;b
520;You have TO-GET-HER.;b
521;If you want to be TOGETHER.  ;p
522;Your Whatsapp status say’s online;p
523;… If your online then, why aren’t you ;b
524;Try to solve your problem yourself… ;p
525;Don’t Depend on other..!;b
526;Life begins at the end ;b
527;of your comfort zone.;b
528;Stop saying I wish start saying I will.;p
529;and antivirus in my heart.;p
530;Every people is a intelligent;n
531;When he work Hard! Goood feel;p
532;Please don’t get confused ;p
533;please smile ..to your life;p
534;Love yourself love your day love your life.;p
535;When he work Hard that is great;n
536;Don’t let a bad day ;p
537;make u feel u have a bad life.;n
538;I’ve got nothing to do today ;p
539;but smile.;b
540;Life is to short to remove USB slowly.;n
541;So many assume. So few know.;p
542;Nobody can teach me who I am.;p
543;‘Down’, It only means that you ;p
544;If people are trying to bring you ;p
545;I got less but I got best!;p
546;I’m cool but Summer made me hot!;p
547;I got less but I got best!;n
548;I am Waiting for GF Message!;p
549;So many assume. So few know.;p
550;Stop saying I wish start saying I will;p
551;It costs $b.bb to be a decent person.;b
552;With Great power, Comes great ele bill.;b
553;I’m sorry my fault. I forgot you’re an Idiot.;b
554;Love yourself love your day love your life.;b
555;Sugar? No thanks, I am already sweet..;b
556;My heart is stolen… Can I check your bar..;p
557;Life is a story, Make yours the best seller!;b
558;Life is short. Smile ;p
559;You are my best reason to lose sleep.;p
560;I’m the dude with cool attitude!;p
561;I wish I had Google in my mind ;b
562;You have TO-GET-HER.;b
563;If you want to be TOGETHER.  ;p
564;Your Whatsapp status say’s online;p
565;… If your online then, why aren’t you ;b
566;Try to solve your problem yourself… ;p
567;Don’t Depend on other..!;b
568;Life begins at the end ;b
569;of your comfort zone.;b
570;Stop saying I wish start saying I will.;p
571;and antivirus in my heart.;p
572;Every people is a intelligent;n
573;When he work Hard! Goood feel;p
574;Please don’t get confused ;p
575;please smile ..to your life;p
576;Love yourself love your day love your life.;p
577;When he work Hard that is great;n
578;Don’t let a bad day ;p
579;make u feel u have a bad life.;n
580;I’ve got nothing to do today ;p
581;but smile.;b
582;Life is to short to remove USB slowly.;n
583;So many assume. So few know.;p
584;Nobody can teach me who I am.;p
585;‘Down’, It only means that you ;p
586;If people are trying to bring you ;p
587;I got less but I got best!;p
588;I’m cool but Summer made me hot!;p
589;I got less but I got best!;n
590;I am Waiting for GF Message!;p
591;So many assume. So few know.;p
592;Stop saying I wish start saying I will;p
593;It costs $b.bb to be a decent person.;b
594;With Great power, Comes great ele bill.;b
595;I’m sorry my fault. I forgot you’re an Idiot.;b
596;Love yourself love your day love your life.;b
597;Sugar? No thanks, I am already sweet..;b
598;My heart is stolen… Can I check your bar..;p
599;Life is a story, Make yours the best seller!;b
600;Life is short. Smile ;p
601;You are my best reason to lose sleep.;p
602;I’m the dude with cool attitude!;p
603;I wish I had Google in my mind ;b
604;You have TO-GET-HER.;b
605;If you want to be TOGETHER.  ;p
606;Your Whatsapp status say’s online;p
607;… If your online then, why aren’t you ;b
608;Try to solve your problem yourself… ;p
609;Don’t Depend on other..!;b
610;Life begins at the end ;b
611;of your comfort zone.;b
612;Stop saying I wish start saying I will.;p
613;and antivirus in my heart.;p
614;Every people is a intelligent;n
615;When he work Hard! Goood feel;p
616;Please don’t get confused ;p
617;please smile ..to your life;p
618;Love yourself love your day love your life.;p
619;When he work Hard that is great;n
620;Don’t let a bad day ;p
621;make u feel u have a bad life.;n
622;I’ve got nothing to do today ;p
623;but smile.;b
624;Life is to short to remove USB slowly.;n
625;So many assume. So few know.;p
626;Nobody can teach me who I am.;p
627;‘Down’, It only means that you ;p
628;If people are trying to bring you ;p
629;I got less but I got best!;p
630;I’m cool but Summer made me hot!;p
631;I got less but I got best!;n
632;I am Waiting for GF Message!;p
633;So many assume. So few know.;p
634;Stop saying I wish start saying I will;p
635;It costs $b.bb to be a decent person.;b
636;With Great power, Comes great ele bill.;b
637;I’m sorry my fault. I forgot you’re an Idiot.;b
638;Love yourself love your day love your life.;b
639;Sugar? No thanks, I am already sweet..;b
640;My heart is stolen… Can I check your bar..;p
641;Life is a story, Make yours the best seller!;b
642;Life is short. Smile ;p
643;You are my best reason to lose sleep.;p
644;I’m the dude with cool attitude!;p
645;I wish I had Google in my mind ;b
646;You have TO-GET-HER.;b
647;If you want to be TOGETHER.  ;p
648;Your Whatsapp status say’s online;p
649;… If your online then, why aren’t you ;b
650;Try to solve your problem yourself… ;p
651;Don’t Depend on other..!;b
652;Life begins at the end ;b
653;of your comfort zone.;b
654;Stop saying I wish start saying I will.;p
655;and antivirus in my heart.;p
656;Every people is a intelligent;n
657;When he work Hard! Goood feel;p
658;Please don’t get confused ;p
659;please smile ..to your life;p
660;Love yourself love your day love your life.;p
661;When he work Hard that is great;n
662;Don’t let a bad day ;p
663;make u feel u have a bad life.;n
664;I’ve got nothing to do today ;p
665;but smile.;b
666;Life is to short to remove USB slowly.;n
667;So many assume. So few know.;p
668;Nobody can teach me who I am.;p
669;‘Down’, It only means that you ;p
670;If people are trying to bring you ;p
671;I got less but I got best!;p
672;I’m cool but Summer made me hot!;p
673;I got less but I got best!;n
674;I am Waiting for GF Message!;p
675;So many assume. So few know.;p
676;Stop saying I wish start saying I will;p
677;It costs $b.bb to be a decent person.;b
678;With Great power, Comes great ele bill.;b
679;I’m sorry my fault. I forgot you’re an Idiot.;b
680;Love yourself love your day love your life.;b
681;Sugar? No thanks, I am already sweet..;b
682;My heart is stolen… Can I check your bar..;p
683;Life is a story, Make yours the best seller!;b
684;Life is short. Smile ;p
685;You are my best reason to lose sleep.;p
686;I’m the dude with cool attitude!;p
687;I wish I had Google in my mind ;b
688;You have TO-GET-HER.;b
689;If you want to be TOGETHER.  ;p
690;Your Whatsapp status say’s online;p
691;… If your online then, why aren’t you ;b
692;Try to solve your problem yourself… ;p
693;Don’t Depend on other..!;b
694;Life begins at the end ;b
695;of your comfort zone.;b
696;Stop saying I wish start saying I will.;p
697;and antivirus in my heart.;p
698;Every people is a intelligent;n
699;When he work Hard! Goood feel;p
700;Please don’t get confused ;p
701;please smile ..to your life;p
702;Love yourself love your day love your life.;p
703;When he work Hard that is great;n
704;Don’t let a bad day ;p
705;make u feel u have a bad life.;n
706;I’ve got nothing to do today ;p
707;but smile.;b
708;Life is to short to remove USB slowly.;n
709;So many assume. So few know.;p
710;Nobody can teach me who I am.;p
711;‘Down’, It only means that you ;p
712;If people are trying to bring you ;p
713;I got less but I got best!;p
714;I’m cool but Summer made me hot!;p
715;I got less but I got best!;n
716;I am Waiting for GF Message!;p
717;So many assume. So few know.;p
718;Stop saying I wish start saying I will;p
719;It costs $b.bb to be a decent person.;b
720;With Great power, Comes great ele bill.;b
721;I’m sorry my fault. I forgot you’re an Idiot.;b
722;Love yourself love your day love your life.;b
723;Sugar? No thanks, I am already sweet..;b
724;My heart is stolen… Can I check your bar..;p
725;Life is a story, Make yours the best seller!;b
726;Life is short. Smile ;p
727;You are my best reason to lose sleep.;p
728;I’m the dude with cool attitude!;p
729;I wish I had Google in my mind ;b
730;You have TO-GET-HER.;b
731;If you want to be TOGETHER.  ;p
732;Your Whatsapp status say’s online;p
733;… If your online then, why aren’t you ;b
734;Try to solve your problem yourself… ;p
735;Don’t Depend on other..!;b
736;Life begins at the end ;b
737;of your comfort zone.;b
738;Stop saying I wish start saying I will.;p
739;and antivirus in my heart.;p
740;Every people is a intelligent;n
741;When he work Hard! Goood feel;p
742;Please don’t get confused ;p
743;please smile ..to your life;p
744;Love yourself love your day love your life.;p
745;When he work Hard that is great;n
746;Don’t let a bad day ;p
747;make u feel u have a bad life.;n
748;I’ve got nothing to do today ;p
749;but smile.;b
750;Life is to short to remove USB slowly.;n
751;So many assume. So few know.;p
752;Nobody can teach me who I am.;p
753;‘Down’, It only means that you ;p
754;If people are trying to bring you ;p
755;I got less but I got best!;p
756;I’m cool but Summer made me hot!;p
757;I got less but I got best!;n
758;I am Waiting for GF Message!;p
759;So many assume. So few know.;p
760;Stop saying I wish start saying I will;p
761;It costs $b.bb to be a decent person.;b
762;With Great power, Comes great ele bill.;b
763;I’m sorry my fault. I forgot you’re an Idiot.;b
764;Love yourself love your day love your life.;b
765;Sugar? No thanks, I am already sweet..;b
766;My heart is stolen… Can I check your bar..;p
767;Life is a story, Make yours the best seller!;b
768;Life is short. Smile ;p
769;You are my best reason to lose sleep.;p
770;I’m the dude with cool attitude!;p
771;I wish I had Google in my mind ;b
772;You have TO-GET-HER.;b
773;If you want to be TOGETHER.  ;p
774;Your Whatsapp status say’s online;p
775;… If your online then, why aren’t you ;b
776;Try to solve your problem yourself… ;p
777;Don’t Depend on other..!;b
778;Life begins at the end ;b
779;of your comfort zone.;b
780;Stop saying I wish start saying I will.;p
781;and antivirus in my heart.;p
782;Every people is a intelligent;n
783;When he work Hard! Goood feel;p
784;Please don’t get confused ;p
785;please smile ..to your life;p
786;Love yourself love your day love your life.;p
787;When he work Hard that is great;n
788;Don’t let a bad day ;p
789;make u feel u have a bad life.;n
790;I’ve got nothing to do today ;p
791;but smile.;b
792;Life is to short to remove USB slowly.;n
793;So many assume. So few know.;p
794;Nobody can teach me who I am.;p
795;‘Down’, It only means that you ;p
796;If people are trying to bring you ;p
797;I got less but I got best!;p
798;I’m cool but Summer made me hot!;p
799;I got less but I got best!;n
800;I am Waiting for GF Message!;p
801;So many assume. So few know.;p
802;Stop saying I wish start saying I will;p
803;It costs $b.bb to be a decent person.;b
804;With Great power, Comes great ele bill.;b
805;I’m sorry my fault. I forgot you’re an Idiot.;b
806;Love yourself love your day love your life.;b
807;Sugar? No thanks, I am already sweet..;b
808;My heart is stolen… Can I check your bar..;p
809;Life is a story, Make yours the best seller!;b
810;Life is short. Smile ;p
811;You are my best reason to lose sleep.;p
812;I’m the dude with cool attitude!;p
813;I wish I had Google in my mind ;b
814;You have TO-GET-HER.;b
815;If you want to be TOGETHER.  ;p
816;Your Whatsapp status say’s online;p
817;… If your online then, why aren’t you ;b
818;Try to solve your problem yourself… ;p
819;Don’t Depend on other..!;b
820;Life begins at the end ;b
821;of your comfort zone.;b
822;Stop saying I wish start saying I will.;p
823;and antivirus in my heart.;p
824;Every people is a intelligent;n
825;When he work Hard! Goood feel;p
826;Please don’t get confused ;p
827;please smile ..to your life;p
828;Love yourself love your day love your life.;p
829;When he work Hard that is great;n
830;Don’t let a bad day ;p
831;make u feel u have a bad life.;n
832;I’ve got nothing to do today ;p
833;but smile.;b
834;Life is to short to remove USB slowly.;n
835;So many assume. So few know.;p
836;Nobody can teach me who I am.;p
